id,batch,batch__name,employer_name,employer_logo_url,number,gross_total,job_title
4846,25,Dec 16-31 2021 Network Fees,ReconnectCare (547),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/d8/29/d82967af5b3148340a29fcadac189df9.png,547-5,167.2,Software Engineer - Ruby on Rails
4845,25,Dec 16-31 2021 Network Fees,Roil Network (666),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,666-2,595.0,GoLang Developer
4844,25,Dec 16-31 2021 Network Fees,Versusgame (152),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/6b/a7/6ba7e34d86bb08a4cb79cfb8ae8b0d1b.png,152-29,320.0,Sr. Fullstack Engineer (Node+React) (contract-to-hire)
4843,25,Dec 16-31 2021 Network Fees,DataCamp (551),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/f8/faf8adff8ccdb5fe63f970476595ee6e.png,551-12,560.0,Software Engineer (JS/TypeScript)
4842,25,Dec 16-31 2021 Network Fees,Versusgame (152),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/6b/a7/6ba7e34d86bb08a4cb79cfb8ae8b0d1b.png,152-28,680.0,Sr. Frontend Engineer -- React.js/React Native
4841,25,Dec 16-31 2021 Network Fees,Applied Physics (580),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/eb/b2/ebb2324f8f4d2396f25b6a3c983e956a.png,580-1,57.16,Software Engineer - Python
4840,25,Dec 16-31 2021 Network Fees,"TruU, Inc. (164)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/b5/b2/b5b2dead3d3a3dfde62d6aad628f247d.png,164-53,573.34,Senior Java Engineer
4839,25,Dec 16-31 2021 Network Fees,"TruU, Inc. (164)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/b5/b2/b5b2dead3d3a3dfde62d6aad628f247d.png,164-52,317.84,Senior Java Engineer
4838,25,Dec 16-31 2021 Network Fees,Stanley Black & Decker (141),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/13/d2/13d2b0e8048908e5f39501150d6d7675.png,141-250,288.0,QA Engineer
4837,25,Dec 16-31 2021 Network Fees,McKinsey & Company (541),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/eb/7f/eb7f1c36bfed99d95ba32795ca57ce0e.png,541-64,438.06,Lead UX/Service Designer (McKinsey)
4836,25,Dec 16-31 2021 Network Fees,Medable (262),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/58/08/58082f30358b3efc181a455b33184db7.png,262-101,912.0,Senior Visual Designer
4835,25,Dec 16-31 2021 Network Fees,McKinsey & Company (541),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/eb/7f/eb7f1c36bfed99d95ba32795ca57ce0e.png,541-63,2929.53,Lead UX/Service Designer (McKinsey)
4834,25,Dec 16-31 2021 Network Fees,McKinsey & Company (541),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/eb/7f/eb7f1c36bfed99d95ba32795ca57ce0e.png,541-62,3093.8,Lead UX/Service Designer (McKinsey)
4833,25,Dec 16-31 2021 Network Fees,McKinsey & Company (541),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/eb/7f/eb7f1c36bfed99d95ba32795ca57ce0e.png,541-61,2518.85,Lead UX/Service Designer (McKinsey)
4832,25,Dec 16-31 2021 Network Fees,MAJR (520),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/e9/fa/e9fab1150649843435645564660d8877.png,520-10,100.0,UX / UI / Web Designer
4831,25,Dec 16-31 2021 Network Fees,Flylance (473),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/db/d0/dbd018806dbcaff11906199a3f999381.png,473-8,280.0,Sr. Front End Developer - Fintech
